ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Yale Indian,Out,,,
Yale Tribe,Out,,,
Tuscarora,Ab,FN,Tuscarora,Iroquoian
Zimshean,Ab,FN,Tsimshian,Tsimshian
Tsimsian,Ab,FN,Tsimshian,Tsimshian
Tsimpseau,Ab,FN,Tsimshian,Tsimshian
Tsimhsian Indian,Ab,FN,Tsimshian,Tsimshian
Tseshaht,Ab,FN,Nuu-chah-nulth,Wakashan
Tserhaht,Ab,FN,Nuu-chah-nulth,Wakashan
Tsoshaht,Ab,FN,Nuu-chah-nulth,Wakashan
Claoquaht,Ab,FN,Nuu-chah-nulth,Wakashan
Tresbalit,Ab,FN,Nuu-chah-nulth,Wakashan
Claoquht,Ab,FN,Nuu-chah-nulth,Wakashan
Toquaht,Ab,FN,Nuu-chah-nulth,Wakashan
Claoqusht,Ab,FN,Nuu-chah-nulth,Wakashan
Toeshaht,Ab,FN,Nuu-chah-nulth,Wakashan
Clayoquaht,Ab,FN,Nuu-chah-nulth,Wakashan
Claoquabt,Ab,FN,Nuu-chah-nulth,Wakashan
Trubaht,Ab,FN,Nuu-chah-nulth,Wakashan
Troquoise,Ab,FN,Nuu-chah-nulth,Wakashan
Treshaht,Ab,FN,Nuu-chah-nulth,Wakashan
Traohaht,Ab,FN,Nuu-chah-nulth,Wakashan
Toyuaht,Ab,FN,Nuu-chah-nulth,Wakashan
Clayoqust,Ab,FN,Nuu-chah-nulth,Wakashan
Thompson In,Ab,FN,Thompson,Salish
Thomp Indian,Ab,FN,Thompson,Salish
Thompson River Indian,Ab,FN,Thompson,Salish
Thomp Ind,Ab,FN,Thompson,Salish
Thompson Tribe,Ab,FN,Thompson,Salish
Thompson Indian,Ab,FN,Thompson,Salish
Tahltan Indian,Ab,FN,Tahltan,Athapaskan
Tahltan,Ab,FN,Tahltan,Athapaskan
Indian Tahltan,Ab,FN,Tahltan,Athapaskan
Stony,Ab,FN,Stoney,Siouan
Stoney,Ab,FN,Stoney,Siouan
Story,Ab,FN,Stoney,Siouan
Stony India,Ab,FN,Stoney,Siouan
Fraser River Indian,Ab,FN,Sto:lo,Salish
Fraser River Indias,Ab,FN,Sto:lo,Salish
Fraser River,Ab,FN,Sto:lo,Salish
Fraser River Indians,Ab,FN,Sto:lo,Salish
Fraser River Ind,Ab,FN,Sto:lo,Salish
Indian Squamish,Ab,FN,Squamish,Salish
Slavish,Ab,FN,Slavey,Athapaskan
Slavi,Ab,FN,Slavey,Athapaskan
Slav,Ab,FN,Slavey,Athapaskan
Exclave,Ab,FN,Slavey,Athapaskan
Esclave,Ab,FN,Slavey,Athapaskan
Slave,Ab,FN,Slavey,Athapaskan
Slavs,Ab,FN,Slavey,Athapaskan
Slavy,Ab,FN,Slavey,Athapaskan
Six Nation,Ab,FN,Six Nations,Iroquoian
Six Nation Indian,Ab,FN,Six Nations,Iroquoian
Six Notion,Ab,FN,Six Nations,Iroquoian
Six. N. Ind,Ab,FN,Six Nations,Iroquoian
Souix,Ab,FN,Sioux,Siouan
Sioux,Ab,FN,Sioux,Siouan
Sieux,Ab,FN,Sioux,Siouan
Sioux Us,Ab,FN,Sioux,Siouan
Sioux Nwt,Ab,FN,Sioux,Siouan
Siouan Indian,Ab,FN,Sioux,Siouan
Sioux Ns,Ab,FN,Sioux,Siouan
Shuswap,Ab,FN,Shuswap,Salish
Shuswap Indian,Ab,FN,Shuswap,Salish
Shuswap Ind,Ab,FN,Shuswap,Salish
Indian Sushwap,Ab,FN,Shuswap,Salish
Seneca,Ab,FN,Seneca,Iroquoian
Senca,Ab,FN,Seneca,Iroquoian
Saulteaux,Ab,FN,Ojibwa,Algonquian
Salteaux,Ab,FN,Ojibwa,Algonquian
Saulteux,Ab,FN,Ojibwa,Algonquian
Salkaux,Ab,FN,Ojibwa,Algonquian
Saulteau,Ab,FN,Ojibwa,Algonquian
Sautleaux,Ab,FN,Ojibwa,Algonquian
Salteau,Ab,FN,Ojibwa,Algonquian
Saulteax,Ab,FN,Ojibwa,Algonquian
Sautteaux,Ab,FN,Ojibwa,Algonquian
Santeux,Ab,FN,Ojibwa,Algonquian
Salteaur,Ab,FN,Ojibwa,Algonquian
Salkanx,Ab,FN,Ojibwa,Algonquian
Sautteauy,Ab,FN,Ojibwa,Algonquian
Sauteux,Ab,FN,Ojibwa,Algonquian
Sarcee,Ab,FN,Sarcee,Athapaskan
Salish,Ab,FN,Salish,Salish
Salich,Ab,FN,Salish,Salish
Onondaga,Ab,FN,Onondaga,Iroquoian
Onondga,Ab,FN,Onondaga,Iroquoian
Onondags,Ab,FN,Onondaga,Iroquoian
Onondagas,Ab,FN,Onondaga,Iroquoian
Onondagan,Ab,FN,Onondaga,Iroquoian
